p	n	D	T	He3	He4	Be7	Li7	Li6
4.442941e-01	5.557058e-01	2.491841e-12	6.405539e-24	7.036957e-24	1.271286e-34	-4.912095e-41	-6.220769e-43	4.150082e-35	%
4.437852e-01	5.562147e-01	2.463647e-12	6.298280e-24	6.924438e-24	1.274434e-34	-5.033750e-41	-6.317427e-43	4.080679e-35	%
4.432712e-01	5.567287e-01	2.435852e-12	6.193591e-24	6.814624e-24	1.278186e-34	-5.158909e-41	-6.414585e-43	4.012318e-35	%
4.427520e-01	5.572479e-01	2.408449e-12	6.091410e-24	6.707453e-24	1.282551e-34	-5.287689e-41	-6.512177e-43	3.944983e-35	%
4.422277e-01	5.577722e-01	2.381434e-12	5.991677e-24	6.602862e-24	1.287543e-34	-5.420206e-41	-6.610135e-43	3.878658e-35	%
4.416980e-01	5.583019e-01	2.354801e-12	5.894332e-24	6.500793e-24	1.293174e-34	-5.556586e-41	-6.708381e-43	3.813330e-35	%
4.411629e-01	5.588370e-01	2.328545e-12	5.799319e-24	6.401188e-24	1.299458e-34	-5.696955e-41	-6.806836e-43	3.748983e-35	%
4.406222e-01	5.593777e-01	2.302660e-12	5.706580e-24	6.303989e-24	1.306410e-34	-5.841445e-41	-6.905414e-43	3.685603e-35	%
4.400759e-01	5.599240e-01	2.277141e-12	5.616063e-24	6.209142e-24	1.314048e-34	-5.990195e-41	-7.004022e-43	3.623175e-35	%
4.395238e-01	5.604761e-01	2.251982e-12	5.527714e-24	6.116594e-24	1.322389e-34	-6.143347e-41	-7.102559e-43	3.561686e-35	%
4.389659e-01	5.610340e-01	2.227179e-12	5.441481e-24	6.026292e-24	1.331453e-34	-6.301048e-41	-7.200918e-43	3.501120e-35	%
4.384021e-01	5.615978e-01	2.202727e-12	5.357315e-24	5.938186e-24	1.341259e-34	-6.463453e-41	-7.298984e-43	3.441464e-35	%
4.378322e-01	5.621677e-01	2.178620e-12	5.275168e-24	5.852227e-24	1.351831e-34	-6.630720e-41	-7.396629e-43	3.382706e-35	%
4.372562e-01	5.627436e-01	2.154854e-12	5.194992e-24	5.768367e-24	1.363191e-34	-6.803015e-41	-7.493719e-43	3.324830e-35	%
4.366741e-01	5.633258e-01	2.131423e-12	5.116742e-24	5.686558e-24	1.375366e-34	-6.980510e-41	-7.590106e-43	3.267824e-35	%
4.360856e-01	5.639143e-01	2.108324e-12	5.040373e-24	5.606756e-24	1.388381e-34	-7.163383e-41	-7.685631e-43	3.211675e-35	%
4.354907e-01	5.645091e-01	2.085551e-12	4.965843e-24	5.528917e-24	1.402267e-34	-7.351820e-41	-7.780122e-43	3.156369e-35	%
4.348895e-01	5.651104e-01	2.063100e-12	4.893108e-24	5.452997e-24	1.417054e-34	-7.546013e-41	-7.873390e-43	3.101894e-35	%
4.342817e-01	5.657182e-01	2.040967e-12	4.822130e-24	5.378954e-24	1.432774e-34	-7.746164e-41	-7.965234e-43	3.048237e-35	%
4.336674e-01	5.663325e-01	2.019146e-12	4.752867e-24	5.306749e-24	1.449464e-34	-7.952480e-41	-8.055434e-43	2.995387e-35	%
4.330465e-01	5.669534e-01	1.997634e-12	4.685283e-24	5.236341e-24	1.467160e-34	-8.165179e-41	-8.143751e-43	2.943329e-35	%
4.324189e-01	5.675810e-01	1.976426e-12	4.619340e-24	5.167691e-24	1.485903e-34	-8.384485e-41	-8.229927e-43	2.892053e-35	%
4.317846e-01	5.682153e-01	1.955518e-12	4.555001e-24	5.100763e-24	1.505735e-34	-8.610634e-41	-8.313684e-43	2.841546e-35	%
4.311436e-01	5.688563e-01	1.934906e-12	4.492233e-24	5.035521e-24	1.526702e-34	-8.843869e-41	-8.394718e-43	2.791796e-35	%
4.304958e-01	5.695041e-01	1.914586e-12	4.431001e-24	4.971928e-24	1.548853e-34	-9.084445e-41	-8.472702e-43	2.742792e-35	%
4.298412e-01	5.701587e-01	1.894554e-12	4.371272e-24	4.909950e-24	1.572238e-34	-9.332626e-41	-8.547284e-43	2.694522e-35	%
4.291798e-01	5.708200e-01	1.874805e-12	4.313014e-24	4.849555e-24	1.596913e-34	-9.588687e-41	-8.618079e-43	2.646975e-35	%
4.285116e-01	5.714883e-01	1.855337e-12	4.256197e-24	4.790710e-24	1.622937e-34	-9.852915e-41	-8.684676e-43	2.600140e-35	%
4.278366e-01	5.721633e-01	1.836144e-12	4.200790e-24	4.733383e-24	1.650373e-34	-1.012561e-40	-8.746627e-43	2.554005e-35	%
4.271547e-01	5.728452e-01	1.817224e-12	4.146764e-24	4.677544e-24	1.679287e-34	-1.040708e-40	-8.803453e-43	2.508560e-35	%
4.264659e-01	5.735339e-01	1.798573e-12	4.094092e-24	4.623163e-24	1.709751e-34	-1.069765e-40	-8.854635e-43	2.463793e-35	%
4.257703e-01	5.742295e-01	1.780187e-12	4.042745e-24	4.570212e-24	1.741840e-34	-1.099767e-40	-8.899614e-43	2.419696e-35	%
4.250679e-01	5.749320e-01	1.762062e-12	3.992698e-24	4.518662e-24	1.775636e-34	-1.130747e-40	-8.937789e-43	2.376256e-35	%
4.243586e-01	5.756412e-01	1.744195e-12	3.943924e-24	4.468488e-24	1.811226e-34	-1.162743e-40	-8.968513e-43	2.333464e-35	%
4.236425e-01	5.763573e-01	1.726582e-12	3.896399e-24	4.419662e-24	1.848702e-34	-1.195794e-40	-8.991090e-43	2.291310e-35	%
4.229196e-01	5.770802e-01	1.709221e-12	3.850098e-24	4.372161e-24	1.888163e-34	-1.229938e-40	-9.004772e-43	2.249784e-35	%
4.221899e-01	5.778099e-01	1.692107e-12	3.804999e-24	4.325958e-24	1.929714e-34	-1.265219e-40	-9.008756e-43	2.208876e-35	%
4.214534e-01	5.785464e-01	1.675238e-12	3.761078e-24	4.281031e-24	1.973469e-34	-1.301678e-40	-9.002181e-43	2.168577e-35	%
4.207102e-01	5.792897e-01	1.658609e-12	3.718313e-24	4.237356e-24	2.019549e-34	-1.339362e-40	-8.984120e-43	2.128876e-35	%
4.199602e-01	5.800397e-01	1.642219e-12	3.676684e-24	4.194912e-24	2.068082e-34	-1.378318e-40	-8.953584e-43	2.089766e-35	%
4.192034e-01	5.807964e-01	1.626064e-12	3.636169e-24	4.153678e-24	2.119207e-34	-1.418596e-40	-8.909509e-43	2.051237e-35	%
4.184400e-01	5.815599e-01	1.610140e-12	3.596749e-24	4.113633e-24	2.173072e-34	-1.460246e-40	-8.850756e-43	2.013279e-35	%
4.176698e-01	5.823301e-01	1.594445e-12	3.558404e-24	4.074757e-24	2.229837e-34	-1.503323e-40	-8.776108e-43	1.975885e-35	%
4.168929e-01	5.831069e-01	1.578976e-12	3.521116e-24	4.037031e-24	2.289670e-34	-1.547883e-40	-8.684259e-43	1.939045e-35	%
4.161094e-01	5.838905e-01	1.563729e-12	3.484866e-24	4.000436e-24	2.352755e-34	-1.593985e-40	-8.573814e-43	1.902751e-35	%
4.153192e-01	5.846807e-01	1.548703e-12	3.449638e-24	3.964956e-24	2.419287e-34	-1.641690e-40	-8.443280e-43	1.866995e-35	%
4.145224e-01	5.854775e-01	1.533893e-12	3.415414e-24	3.930573e-24	2.489478e-34	-1.691063e-40	-8.291062e-43	1.831768e-35	%
4.137189e-01	5.862810e-01	1.519297e-12	3.382178e-24	3.897272e-24	2.563551e-34	-1.742170e-40	-8.115454e-43	1.797062e-35	%
4.129087e-01	5.870911e-01	1.504913e-12	3.349915e-24	3.865036e-24	2.641751e-34	-1.795081e-40	-7.914633e-43	1.762871e-35	%
4.120920e-01	5.879079e-01	1.490737e-12	3.318609e-24	3.833851e-24	2.724337e-34	-1.849870e-40	-7.686653e-43	1.729184e-35	%
4.112686e-01	5.887313e-01	1.476767e-12	3.288245e-24	3.803702e-24	2.811592e-34	-1.906613e-40	-7.429436e-43	1.695996e-35	%
4.104385e-01	5.895613e-01	1.463001e-12	3.258810e-24	3.774577e-24	2.903817e-34	-1.965391e-40	-7.140760e-43	1.663298e-35	%
4.096019e-01	5.903980e-01	1.449435e-12	3.230290e-24	3.746462e-24	3.001337e-34	-2.026287e-40	-6.818256e-43	1.631084e-35	%
4.087586e-01	5.912413e-01	1.436067e-12	3.202672e-24	3.719344e-24	3.104505e-34	-2.089390e-40	-6.459394e-43	1.599345e-35	%
4.079086e-01	5.920913e-01	1.422895e-12	3.175943e-24	3.693214e-24	3.213699e-34	-2.154790e-40	-6.061474e-43	1.568075e-35	%
4.070520e-01	5.929479e-01	1.409916e-12	3.150092e-24	3.668059e-24	3.329326e-34	-2.222585e-40	-5.621614e-43	1.537267e-35	%
4.061887e-01	5.938112e-01	1.397127e-12	3.125108e-24	3.643869e-24	3.451830e-34	-2.292875e-40	-5.136740e-43	1.506914e-35	%
4.053187e-01	5.946812e-01	1.384527e-12	3.100979e-24	3.620635e-24	3.581687e-34	-2.365765e-40	-4.603569e-43	1.477009e-35	%
4.044420e-01	5.955579e-01	1.372112e-12	3.077694e-24	3.598347e-24	3.719412e-34	-2.441366e-40	-4.018601e-43	1.447545e-35	%
4.035585e-01	5.964413e-01	1.359881e-12	3.055245e-24	3.576998e-24	3.865564e-34	-2.519794e-40	-3.378100e-43	1.418516e-35	%
4.026683e-01	5.973315e-01	1.347831e-12	3.033621e-24	3.556579e-24	4.020748e-34	-2.601170e-40	-2.678079e-43	1.389916e-35	%
4.017713e-01	5.982285e-01	1.335960e-12	3.012814e-24	3.537084e-24	4.185619e-34	-2.685621e-40	-1.914283e-43	1.361737e-35	%
4.008675e-01	5.991323e-01	1.324265e-12	2.992816e-24	3.518505e-24	4.360888e-34	-2.773280e-40	-1.082175e-43	1.333975e-35	%
3.999569e-01	6.000430e-01	1.312744e-12	2.973617e-24	3.500836e-24	4.547325e-34	-2.864288e-40	-1.769074e-44	1.306622e-35	%
3.990393e-01	6.009605e-01	1.301396e-12	2.955212e-24	3.484074e-24	4.745768e-34	-2.958792e-40	8.066886e-44	1.279672e-35	%
3.981149e-01	6.018850e-01	1.290218e-12	2.937593e-24	3.468212e-24	4.957128e-34	-3.056944e-40	1.874132e-43	1.253120e-35	%
3.971835e-01	6.028164e-01	1.279208e-12	2.920754e-24	3.453246e-24	5.182394e-34	-3.158907e-40	3.031316e-43	1.226960e-35	%
3.962451e-01	6.037548e-01	1.268363e-12	2.904689e-24	3.439174e-24	5.422644e-34	-3.264851e-40	4.284529e-43	1.201186e-35	%
